number,country,description,points,price,province
109140,US,"The combination of mouthwatering acidity, steely flavors of citrus fruits, apricots, white flowers and honey, and finesse make this slightly oaked Albari?o super drinkable. With a trace of honey, it will be perfect with Vietnamese fare, smoky ham dishes, or fried chicken with potato salad.",86,25,California
109150,Austria,"While this Grüner does not give away too much on its rather closed nose, the savory hints of pepper, arugula, pear and thyme unite beautifully and insistingly on the midpalate. The wine gets full marks for refreshing, authentic typicity.",90,20,Vienna
109160,US,"There's a lightness of being to this wine that makes it ethereal. Light in texture and body, layers of earthy strawberry and red cherry remain crisp and fresh on the palate, with a faint aroma of rose petal marking the bouquet.",90,45,California
109170,US,"This is a big, bold, but welcoming wine with tons of flavor, plenty of tannin but an almost silky texture that invites another sip. The deep red-black color goes almost to the rim. Aromas are like apple skin and red cherries and the flavor suggests blackberries. Its richness without heaviness helps it stand out from the pack.",90,24,California
109180,US,"A big-boned wine with a juicy midpalate, this round, plush expression of the variety offers welcome layers of dark cherry, raspberry and plum nicely accentuated with clove and sage.",90,75,California
109190,Argentina,"Dry spicy aromas accent woodsy berry scents. A tight focused palate jabs with acidity and poking tannins, while this tastes of lightly herbal cherry and berry fruit. Spicy flavors on a healthy finish help this along.",90,20,Mendoza Province
109200,Argentina,"Piercing aromas of char and creosote are like a laser pop surrounded by a note of blackberry. This is raw, tannic and hard on the palate. Chunky berry flavors are heavily oaked, while this is jammy in feel and tastes of blueberry on the finish. Drink through 2021.",90,55,Mendoza Province
109210,Chile,"Scratchy and dry on the nose, this turns lean and borderline sour in the mouth, with acidity running the show. Very zesty, with mild oak influence, this is a blend of 60% Cabernet Sauvignon and 40% Carmenère.",82,20,Maipo Valley
109220,Chile,"This is nearly indistinguishable from Arauco's standard 82-point 2011 Sauvignon Blanc, smelling stalky, with zero pungency or varietal character. It shows lemony acids, but that's about all.",81,14,Central Valley
109230,Argentina,"This wine takes you on a trip to an outer wine world where deep, cushioned berry aromas come with exotic perfumes, bath oils and crushed flower petals. It's ultrasaturated and jammy, but not clunky or heavy. This tastes like a storm of blackberry, espresso and Swiss chocolate, while black spices and length bring up the rear. A blend of 50% Malbec, 40% Cabernet Sauvignon and 10% Cab Franc; drink now??017.",96,50,Mendoza Province
109240,France,"Showing its wood strongly, this toasty wine seems to have lost the fruit. Some attractive acidity at the end helps compensate. Drink now.",86,41,Burgundy
109250,Italy,"This wine opens with aromas of sawdust, oak, tire rubber, coffee and mature black fruit. The palate is also dominated by wood sensations, offering oak extract, roasted coffee bean, vanilla and espresso that smother the hints of ripe black plum that peek through.",86,50,Southern Italy
109260,Spain,"Mild, innocuous aromas of white fruits are pleasant but undefined. This feels round and benefits from acidic lift, while flavors of orange and nectarine finish in a friendly manner. This is mostly Viura with some Verdejo and Sauvignon Blanc.",86,10,Central Spain
109270,France,"Pure notes of tart but ripe, red apple shine on nose and palate. They pervade this fresh, clean and dry wine with immense, appetizing juiciness. There is concentration and joy at the heart, backed by focussed, taut acidity that brightens everything. The lemon zest on the finish is impressive and long.",91,54,Alsace
109280,Germany,"Minerality takes center stage in this light-footed but penetrating dry Riesling. While the fruit profile is zesty and green—suggesting tart, under-ripe lime, tangerines and melon rinds—the palate is gilded by slick layers of candlewax and petrol, lending a dense, voluminous mouthfeel. It's an elegant, stately wine to drink now through 2023.",91,38,Pfalz
109290,Italy,"Lovely scents of orchard fruit, citrus, almond blossom and a whiff of light baking spice emerge on this radiant wine. The lively, balanced palate delivers yellow apple, bitter almond, ginger and a note of tangerine zest. A salty note closes the finish.",91,40,Northeastern Italy
109300,Portugal,"This is a fruity, wood-aged wine, showing spice and coffee flavors that complement ripe blackberry fruit. It's smooth in texture and has just the right touch of acidity. The wine is ready to drink. Screwcap.",86,9,Tejo
109310,US,"Its brisk acidity and dry, tart lemon-and-lime flavors make this a nice wine to drink now. It has the herb and tobacco notes you often find in Napa Valley Chardonnay.",86,18,California
109320,Spain,"Rough, stalky, yeasty aromas are all over the map. Lemony acidity renders this tight as a drum, while bitter, stalky flavors finish wheaty and bitter. This Tempranillo Blanco is barely worth a go; the pleasure factor is at base level.",81,22,Northern Spain
109330,Chile,"This is fleshy and dilute up front, then heavy and globular in feel. Pickled melon and vegetal stone-fruit flavors finish weak.",80,11,Central Valley
109340,US,"This longstanding collaboration between vintner and grower reflects years of mutual understanding and respect. The wine offers pretty orange blossom and lemon verbena aromas that wrap around a composed, well-integrated and mineral-laden body. Voluptuous, the wine is also well-balanced, finishing in bright acidity. It is deliciously good.",96,65,California
109350,US,"From a newish appellation in El Dorado County, this is a copper-colored wine with richly sweet strawberry flavors and a peppery streak that lasts into the finish. It's dry enough for the dinner table. Try with cioppino. —S.H.",85,10,California
109360,US,"Smells funky, with forest floor, humus and mushroom aromas mingling with riper scents of wild berries and sweet oak. The fruity flavors are well developed, and drink sweetlyripe, yet the wine has a one-dimensionality and is excessively soft. —S.H.",85,23,California
109370,US,"From Chiles Valley, a heady wine with 15.3% alcohol that will appeal to fans of superripe Zin. The plummy flavors veer into Port-like notes of raisins and sweet chocolate, although the wine is fully fermented to dryness.  —S.H.",85,27,California
109380,Spain,"From a good vintage like 2009, this modest Tinta de Toro has a lot to offer. It smells slightly rustic but full of fruit. The palate has a tannic but balanced feel, with dark, sweet flavors of cassis and blackberry. It's peppery and lightly herbal on the finish.",89,15,Northern Spain
109390,Spain,"This opens with a classic Rioja nose of leather, dried cheese, roast berry and spice. It feels chunky and quite solid, with roasted fruit, tomato and herbal flavors on a deep palate. This is long and a touch warm on the finish, but healthy and ready to drink.",89,35,Northern Spain
109400,US,"A soft, gluey Pinot Noir, with almost no structure and bizarre cherry candy and medicinal flavors.",80,18,California
109410,US,"A gigantic wine, one of the most powerful Syrahs in memory. Shows fabulously rich tannins from stem fermentation, sweet, spicy and earthy. The aromas and flavors are of mushrooms, grilled meat, blackberries, cherries, cola, black pepper and smoky cedar. Extraordinary depth and complexity, a very great California Syrah. Could soar off the charts in the next 2?? years.",97,100,California
109420,Portugal,"This soft, almost tasteless wine just hints at caramel and red fruits. It lacks character.",81,15,Lisboa
109430,US,"Just beautiful, this wine combines spicy, arresting aromas, vivid, bright cherry and raspberry flavors, an electric mouthfeel and bracing texture. All nerve and muscle, and no fat, it is vibrant in acidity, with firm tannins that support the enticing fruit flavors. Virtually irresistible now, this will gain complexity through at least 2022.",96,65,California
109440,US,"Since this is the winery's largest production Pinot, but still under 1,000 cases, buyers actually have a chance of finding this full-bodied beauty. Sly on the nose, it is tense in toasty oak and chewy cherry, venturing into black cherry, blackberry and root beer. It's amply structured and robust, yet with silky tannins. Enjoy through 2022.",95,52,California
109450,France,"This rich, generous and soft wine has a ripe feel along with plenty of acidity. The freshness is cushioned by ripe yellow and pear fruit flavors. It has power as well as minerality, and a touch of toast comes through at the end. Drink from 2018.",95,69,Burgundy
109460,France,"This is a textured, steely wine with considerable acidity as much as fruit. Tight and with green apple and green plum characters, this structured wine has a salty, chalky texture. Tasting of the soil, it needs to age. Drink from 2018.",95,,Burgundy
109470,Italy,"Aromas of underbrush, leather, flint, wild berry and a balsamic note mingle in the glass. The structured palate delivers dried cherry, crushed raspberry, grilled herb and anise alongside firm, fine-grained tannins and fresh acidity. Hold for additional complexity; drink 2018??035.",95,90,Piedmont
109480,US,"Fruity and dark, this Bordeaux-style blend is two thirds Cabernet Sauvignon and one third a mix of the four other grapes. The result is a wine with stiff tannins and excellent structure, with clean dark-fruit and forest-floor flavors alongside streaks of iron and caramel.",89,20,Washington
109490,Italy,"Not very expressive, this shows subdued aromas that recall coconut, toasted oak, espresso and raw, red berry. The palate delivers red berry, licorice, mocha and vanilla alongside mild tannins. It's already surprisingly accessible. Drink 2015??020.",89,250,Piedmont
109500,Germany,"A whiff of fresh brioche against a backdrop of sunny grapefruit and plum flavors makes this forward fruity off-dry Riesling especially inviting. While lively and crisp, its juicy, quaffable style makes it an easy pleaser. Drink now.",88,11,Mosel
109510,Germany,"Jolts of honey, lemon and lime introduce this animated Sp?tlese. It's forward and approachable with sunny tangerine and peach flavors, but maintains a nervous tension of acidity. The finish is brisk and tight.",88,28,Mosel
109520,Portugal,"From a high-altitude vineyard in the heart of the Douro, this is a fruity while well textured wine. With a strong mineral character that comes from the lees stirring during fermentation, it has both bright citrus fruits with acidity and a more tropical character. Drink now.",88,15,Douro
109530,Spain,"This wine is not impressive in any way. It's tannic, abrasive and tastes stalky and weedy. The finish is rough and green, like rocks in the mouth.",80,30,Northern Spain
109540,US,"The pedigree of this vineyard shows in every aspect. It's not just the ripe black cherry and pomegranate fruit, or the brisk acidity, or the lush, gorgeous tannin structure. It's the incredible complexity, showing all kinds of mushroom,  cola, smoked meat and spice notes. Simply gorgeous now, and should develop over the next 10 years.",94,52,California
109550,Argentina,"Until now, Tapiz has been a value-driven brand with no wine priced above $20. This outstanding Malbec shows that they've been holding something back. Black Tears is ripe and handsome, with almost everything in its perfect place. It's a hard-driving wine with blackberry, vanilla and coconut aromas and flavors in front of a chewy, tannin-rich finish with the mildest note of raisin. Drink this unbridled stud now through 2017.",93,59,Mendoza Province
109560,US,"Chocolate milk, with a squeeze of cassis liqueur and the sweet vanillins of toasted oak, are the flavors. With the high alcohol, it's almost a dessert wine. Give it credit for a heady opulence.",85,39,California
109570,France,"While the aromas have rustic overtones, the wine itself goes down the red fruit path. It shows juicy cherry flavors, soft but present tannins and a good touch of spice and wood. There is an attractive smoky aftertaste. Drink in 2015.",85,,Burgundy
109580,France,"A bold and ripe wine, it's full of black currant fruits accompanied by wood and acidity. It's obviously young and will soften and calm into a smooth and rich wine. The finish brings out a dry character. Drink from 2017.",85,,Bordeaux
109590,US,"These old vines produce a powerful wine, that retains strong flavors of stem and earth despite the extra ripeness in 2012. The red berry fruit slides into suggestions of tomato juice.",87,55,Oregon
109600,Germany,"There's nothing flashy about this dry, delicately framed Riesling. It's quietly elegant, focused on pristine lemon and lime flavors, along with bitter citrus pith on the finish.",87,20,Rheingau
109610,US,"A white Pinot Noir made from estate-grown grapes, this is a curious wine and perhaps an acquired taste, though it has found its fans via the winery. Akin to Chardonnay in its expressions of crème br?lée, tropical fruit basket and tangy apple, this wine is textured, bright in acidity and touched by oak.",87,55,California
109620,US,"Sugary sweet, this blend has jammy flavors of raspberries and cherries, with a sprinkling of chocolate.",82,20,California
109630,US,"Simple and slightly sweet, like the juice from canned peaches, pineapples and apricots, but with more acidity.",82,16,California
109640,France,"The wine has fine potential. While the wood flavors are dominant, as it develops the ripe red-berry flavors that are there will fill out and bring their fruity acidity along. It is going to be ready to drink from 2017.",88,20,Bordeaux
109650,Portugal,"This Port comes from a good year for single-quinta vintages. Made in open stone lagars, it is a ripe, black-fruited wine, packed with sweet plums as well as raisins and figs. At this stage, the added brandy is very prominent and the wine needs time. It should be ready to drink for its fruit by 2018, for its maturity by 2026.",88,84,Port
109660,US,"Done entirely in stainless tanks, this fruity wine offers spring fresh flavors of citrus, pineapple and green melon. With barely perceptible residual sugar, the acids keep it lip-smacking and lively. There is just a hint of buttery caramel at the core.",88,19,Oregon
109670,Spain,"Peach, melon and vanilla cookie aromas are mild, simple and a touch mealy. The mouthfeel on this basic Albari?o is fleshy and plump, with adequate acidity. Sweet apple and tropical fruit flavors are lasting and stay the course.",85,12,Galicia
109680,Italy,"Aromas of toasted oak and lemon zest carry through to the one-dimensional, lean palate, along with confectionary notes.",85,30,Sicily & Sardinia
109690,US,"The nose is a bit curious, with hard vanilla, smoked melon and grilled citrus. Smoke carries to the palate, with charred applewood most prominent, making for an atypical but somewhat enjoyable Sauv Blanc.",85,28,California
109700,France,"Perhaps it is the large Clairette component (52%), but this blend finishes with an attractive tingle of lime that brightens the whole experience. Honeyed melon and traces of raw almond give the impression of softness, yet the wine remains refreshing. The balance is 26% Grenache Blanc, 13% Viognier and 9% Picpoul. Drink it now and over the next six months.",89,19,Rh?ne Valley
109710,Spain,"This mature brut nature is smoky and stalky/bitter on the nose. In the mouth, it's lean and acidic, with little body in support of citrus and gritty apple flavors. Bitterness and white-pepper notes rise up on the finish. For razor-sharp Cava, this fits the bill.",88,59,Catalonia
109720,Italy,"Rose, leather, black cherry and balsamic aromas lead the nose on this friendly wine. The savory palate delivers crushed red berry and white pepper alongside lithe tannins that give it an easy drinking texture.",88,,Tuscany
109730,Chile,"Piercing on the nose, with aromas of cola, graphite, juniper and blackberry. Feels thick, with meaty flavors of blackberry, boysenberry, herb and flower notes. Layered and relatively long on the finish. Impressive for under-$20 Chilean Syrah, with complexity and sauvage notes.",89,16,Cachapoal Valley
109740,US,"A solid example of the variety, with complex red and black fruits mixing it up with additional grace notes of coffee, sweet spice, toast and licorice. It's a balanced effort, with rather delicate tannins, and a finish that quits just a little early.",89,30,Oregon
109750,US,"Cedarville takes a lot of pride in its Cab, and this definitely screams mightily of its mountain, granite-soiled origins, with a rich mouthfeel and rocky minerality. Fully fruity, though restrained, this Cab has plenty of leathery plushness in the midpalate ending with a finale of dense, dark chocolate.",89,29,California
109760,Italy,"Alluring aromas of exotic spice, purple flower, dark-skinned berry and a balsamic note lead the nose. The concentrated palate delivers dried cherry, ripe plum, mint, licorice and a hint of game alongside velvety tannins that wrap around the finish. It nicely balances weight and finesse.",93,92,Veneto
109770,France,"Negociant Nicolas Potel has made a specialty of sourcing old vines. In this wine, they are between 44 and 54-years-old. The wine is rich and concentrated—dark with tannins and generous with black fruits. It is firm and obviously needs to age. Drink this sold wine from 2020.",92,64,Burgundy
109780,Spain,"Cherry, plum and oaky aromas of vanilla work well together on this tight, slightly clampy and acidic Gran Reserva that's still showing youthful tannic pull. Ripe plum and spice flavors hint at raisin, while this finishes with grabby tannic intensity. Drink this through 2022.",92,37,Northern Spain
109790,France,"While the style is soft, full of yellow fruit richness, the wine also show an excellent concentrated texture. The fresh fruit is integrated into this more complex style. The aftertaste shows some softness, but the wine can certainly age for several years.",91,92,Champagne
109800,Argentina,"Deep berry, cola, mint and leather aromas are classy and not overdone. Feels lush and deep in the mouth, with blatant ripeness and toasty, oaky flavors of cola, coconut and blackberry. Finishes big but not that long or complex. Drink now through 2013; Malbec with Cabernet Sauvignon and Merlot.",91,54,Mendoza Province
109810,Italy,"There's a lot of excitement surrounding the little-know Groppello grape that is a native of northern Italy. The variety delivers freshness and fruity intensity: This expression is extremely clean, polished and food-friendly.",87,23,Northeastern Italy
109820,Italy,"Here's a simple, straightforward Cabernet Sauvignon from northern Italy with an attractively low price tag and lively aromas of cherry, chocolate and spice. It shows rich, dense texture as well.",87,12,Veneto
109830,Chile,"Briny aromas of sauerkraut fail to make much of an impression. This is dull in feel, with bitter, fruitless flavors. On the finish, bitterness remains. Drinkable but with few positives.",82,12,Casablanca Valley
109840,Argentina,"Just when you think Alta Vista has gotten everything it can from Temis (see the 2012), this comes along to reset the benchmark. Ripe, round and lush on the nose, with full-force blackberry and prune aromas, this shows titanic grip, depth and ripeness on the palate. Flavors of raisin, chocolate and blackberry finish with hefty tannins and a smear of mocha flavor. Drink from 2018??026.",96,48,Mendoza Province
109850,Portugal,"This beautifully perfumed wine has all the tannins that will allow it to age over many decades. It also offers the rich blackberry, dark plum and great structure that will support that aging. As so often, Noval has released a vintage when other major producers have held back. But this powerful wine fully justifies the decision. Drink from 2025 for the fruit, 2030 for the complexity.",96,105,Port
109860,Italy,"This is a terrific value wine (a rosé made from the indigenous grapes of Sicily) that opens with a bright pink color and fragrant tones of raspberry, white almond and rose petal.",86,13,Sicily & Sardinia
109870,France,"A rich and rounded single-vineyard Chardonnay. It has weight and a smoky character to go with the peach, kiwi and lime juice flavors. The acidity is light, but does give a line of freshness.",86,14,Burgundy
109880,US,"Loaded with dark cherry earth, this is a dense, drinkable Pinot Noir. From a tiny Watsonville-based producer who sources from all over the state to make a handful of different wines.",86,30,California
109890,US,Aromas of cigar box and dried herbs are light and elusive. The palate yields plenty of tart cherry and cranberry flavors and a light grip of tannins.,89,30,Washington
109900,France,"In this Merlot-dominated wine, powerful wood flavors still show strongly against the fresh, juicy black-currant and berry fruits. As this combination ages, it will produce a ripe, full and always fruity wine with strong final acidity. Drink from 2018.",89,32,Bordeaux
109910,Austria,The flavor of red and green apples dominates the nose. The palate has a fleshier nature but a huge amount of zesty freshness that pulls everthing taut and straight. Clean and very refreshing.,89,26,Vienna
109920,US,"Hailing from River Rock Vineyard in the Rocks District, this wine's black olive, green stem, potpourri, dark fruit and orange peel aromas are followed by silky feeling fruit and savory flavors. It keeps the interest high.",93,60,Washington
109930,US,"A tiny-production, 100% varietal wine from a tiny ?-acre site in heart of Kenwood, next to Chateau St. Jean, this is a wow wine, melding flavors of baked plum, moist earth, mocha and blackberry. It has a lively richness that's both lush and expansive, with a soft, firm tannin structure and lengthy finish.",93,39,California
109940,Australia,"Wakefield (known as Taylor's in Australia) was founded as a Cabernet-focused estate. While the range has expanded over time, Cabernet Sauvignon remains a strength. Brown sugar and cedar frame cassis fruit on the nose; the palate shows just enough juicy, mouthwatering fruit to support the ample oak. This is full bodied yet supple, with crisp acids showing on the finish.",93,60,South Australia
109950,US,"A classic style of wine, this has reserved aromas but great texture and structure supporting deep black currant and dark plum flavors, accented by subtle spicy oak. With each sip more nuances of cedar, tobacco, sage and black olive come out. Although delicious now, it will be best after 2020.",92,40,California
109960,France,"Darker in color than most Provence rosés, this impressive wine is made almost entirely of Mourvèdre. With a rich, full character, it is generous and ripe. Sweet strawberry fruits are right up front, balanced with a touch of citrus and freshly ground pepper. The aftertaste is tight and spicy.",92,40,Provence
109970,Spain,"This immediately presents itself in fine fashion. Ripe berry, generous oak and rooty notes form a complex nose. Spot on across the palate, with depth and freshness, this tastes of cherry, blackberry and mocha. A deep finish with exemplary balance confirms both quality and value. Drink through 2019.",92,25,Northern Spain
109980,France,The nose is very restrained: barely an aroma escapes. The palate comes in with shy reticent freshness but reveals a serious vein of grapefruit zestiness underneath. This has ample freshness that needs to be teased out. The finish is dry and clean.,89,17,Alsace
109990,France,"Tight and crisply fruity, this wine comes from a property in the Vignobles Signé family since 1649. With a strong herbal character, it is refreshing and already delicious, bright and lively. Plenty of acidity keeps this wine packed with forward fruit. Drink now.",89,12,Bordeaux
110000,Australia,"Shiraz (60%), Cabernet Sauvignon (28%) and Malbec (12%) combine in this medium-bodied silky-textured blend. Hints of eucalyptus linger around the margins, while the core of the wine features raspberry and cherry fruit. It's soft and easy to drink, and made for near-term consumption.",88,17,South Australia
110010,France,"In its youthful state, the wine has an earthy character that will soon move into a ripe, fruity while always structured state. Rich and  fruity now, it's likely to become a serious, ageworthy wine.",92,25,Loire Valley
110020,Spain,"Compact and harmonious up front, this three-grape blend delivers aromas of oak, dark berry fruits and prune. The palate is saturated and fully ripe, with wide tannins that don't grate. Jammy berry, raisin, coconut, tobacco and creamy oak flavors finish long and ripe. Drink through 2018.",92,30,Central Spain
110030,France,"A blend of wines from caillottes stony soil and Kimmeridgian marl, this is an amalgam of ripe fruit and tense mineral texture. Together these two styles give a complex, impressive wine that has great concentration as well as aging potential. Drink from 2018.",93,28,Loire Valley
110040,US,"There's an elegant blend of red cherry, rose petal and purple-flower aromas on the nose of this wine. The palate is even more exquisitely layered, with espresso, dark red cherry, black plum, mission fig, North African spice and a touch of mint, all hung on a solid tannic structure.",93,39,California
110050,US,"The nose on this bottling is quite complex and alluring, with an array of herbs—thyme, rosemary, lavender and other purple flowers—set against fire-roasted plum fruit. Slightly lighter than other Petite Sirahs, the palate offers flavors of mulberry, boysenberry, baked fennel, black pepper and beef roast.",92,40,California
110060,Italy,"Gravisano is a sun-drenched dessert wine from the Murgia area of Puglia in the deep south of Italy that offers candied fruit, honey roasted almond and butterscotch flavors. The wine is soft and chewy with a thick, sweet close.",89,35,Southern Italy
110070,France,"There's a wild streak to this wine, with prominent aromas of cured meat and fresh savory herbs paired with cherry and strawberry scents. The mouth is quite filling and lush, with beautiful sweet spice and chewy bark flavors adding character to the close. 80% Syrah and 20% Carignan; ready to drink now.",89,19,Languedoc-Roussillon
110080,Peru,"Stalky, earthy aromas of roasted, raw berry fruits suggest underripeness. This feels solid on the exterior but weak in the middle. Creamy, oaky plum flavors have a bitter, roasted quality, while on the finish it's heavy, creamy oak in charge.",84,17,Ica
110090,US,"Peach, yellow plum and underripe banana tones mark the nose. Banana makes an appearance again—in candied form—on the medium-bodied, almost oily palate. Sharp lemon citrus tones race on the finish.",84,20,Texas
110100,Chile,"Forced, heavy oak aromas lie around as this smells like lacquer, mint and horse hide. Thick, chewy and tannic, this tates mostly of resiny, heavy oak. On the finish, it's so woody that you're left with an artificial aftertaste.",84,18,Curicó Valley
110110,Spain,"You wouldn't call this wine “clean and polished.??It has some old country brett along with fig, earth, mushroom and liqueur on the nose. That said, it's dishing up heavy servings of chocolate and baked berry pie flavors. A big, bulky wine that's already losing clarity. This won't be for everyone.",89,17,Northern Spain
110120,Italy,"Here is an organic Merlot with well-integrated spice, fresh fruit nuances and natural rubber (a tiny touch of Band-Aid is present as well). Soft tannins and a velvety mouthfeel give the wine a sophisticated edge, and its dusty tannins give it the structure to stand up to grilled meat.",89,35,Tuscany
110130,Spain,"Slightly rooty and warm, with a nose that's one part stewy and malty and another part complex and fruity. In the mouth, vanilla and spice add character to common berry fruit flavors, while the finish is silky and fairly long. Overall this is a nice, handsome wine with balance and character. Expect to be pleased but not blown away.",89,30,Northern Spain
110140,US,"There's ample acidity and just a touch of oak on this Viognier, which is rich in orange, peach and lime flavors. It finishes with some sweetness, but the acidity comes to the rescue, providing a clean, brisk close.",86,20,California
110150,Italy,"Easy and bright, with fresh aromas of kiwi, exotic fruit and fresh green herb, this zesty Catarratto would pair with fried fish or calamari. Drink now.",86,15,Sicily & Sardinia
110160,Chile,"The cool conditions that defined the 2011 vintage in Chile are draped all over this Chardonnay. The nose deals notes of applesauce and oaky cinnamon, while the palate is sleepy, with very little happening. Flavors of spicy oak rest on top of white fruit flavors, and the finish is neutral and acidic.",86,25,Casablanca Valley
110170,Italy,"Star anise, new leather, eucalyptus, dark spice and woodland berry are just some of the aromas you'll find in this scented red. Its firm and elegantly structured palate evokes Marasca cherry, crushed raspberry, licorice and clove. It's young but balanced, with bright acidity and a backbone of refined tannins.",92,59,Piedmont
110180,US,"Equipo means team in Spanish, and this blend of 60% Cabernet Sauvignon, 25% Petit Verdot and 15% Cabernet Franc is handled from ground to glass by the labor crew that's worked for Grassini since the estate was founded. They know what they're doing, as this is delicious and complex, with blackberry, black currant, bittersweet chocolate and licorice on the nose. The palate packs black plum, black cherry and charred meat with a cocoa finish.",92,35,California
110190,US,"Doug Margerum takes his mastery of making clean and distinctive Burgundian and Rh?ne wines into Italian whites with this blend of 35% Pinot Bianco, 34% Pinot Grigio and 31% Tocai Friulano from three different vineyards. Lemon peel, lime zest and crisp nectarine show on the nose while the palate's sparkling acidity reveals flavors of white flowers, lemon cream and pear, all wrapped around a steely core.",91,32,California
110200,South Africa,So fresh and inviting with lovely sweet pea and grass florals alongside soft notes of ripe nectarine and melon. The prickly mouth is loaded with orange oil citrus and a hint of banana unfolds on the long finish. A very clean and satisfying hand-picked Chenin Blanc that's a versatile wine for food pairing.,87,13,Coastal Region
110210,US,"Angel Vine (formerly Three Angels) now offers three single vineyard Zins as well as this blend, with includes Primitivo and Petite Sirah. Sweet, briary fruit, with a pleasing brambly character, runs through the mouth leaving a chocolaty trail. There is just a hint of leather and funk.",87,20,Washington
110220,US,"A nicely drinkable Chardonnay marked by vigorous acidity and creamy-smooth flavors of pineapple tart, Key lime pie and lemongrass. Good as an inexpensive alternative to coastal bottlings that cost far more.",87,18,California
110230,France,"This tastes lean, the fruit buried deep beneath hard, dry fruit tannins. There is an old style austerity here that demands food. The final juicy acidity does leave a welcome relief.",84,24,Bordeaux
110240,US,"Dry and earthy, with blackberry, licorice, bacon, herb, tobacco and smoky oak flavors. At its best now, so drink up.",84,38,California
110250,Italy,"This is a lightly sparking red from beautiful Sorrento in Southern Italy with sweet flavors of mature black fruit and spice. It's easygoing with low alcohol, which means you can throw back a few glasses with pizza without a second thought.",84,17,Southern Italy
110260,Austria,"Grauburgunder, aka Pinot Gris from warm vineyards, giving a rich, unctuous texture, a lightly perfumed character that also maintains freshness and attractive acidity. Keep for six months. Screwcap.",90,,Südoststeiermark
110270,France,"Full-bodied wine, with textured and layering tannins as well as red fruits. The wine has weight, a complex herbal and spice character as well as final fruitiness and tense acidity. A wine for aging over six months to a year.",90,,Provence
110280,France,"Grands Terroirs is a brand created by Cahors-based Ch?teau le Cèdre. This bow to its Bordeaux neighbor has produced a Pauillac that is classic, rich, structured and packed with blackberry fruit. It is still on the young side, although drinkable, a wine that will open and round in the next two years.",90,,Bordeaux
110290,US,"Tart, clean and juicy, this has ripe flavors of apricot, citrus, tropical fruit and spice. With zesty acidity, it feels basically dry, despite the honeyed finish. A touch of oak lends vanilla and smoke notes.",87,20,California
110300,France,"Soft, tangy and fruity, this is a ripe wine that shows both freshness and richness. It's approachable now, and full of creamed apple flavor. Delicious to drink as an apéritif. Screwcap.",87,15,Alsace
110310,Italy,"Forest floor, leather, tobacco and menthol aromas take shape in the glass. The palate is tense and vibrant, offering raspberry, pomegranate, licorice and espresso notes, bolstered by tightly wound tannins. Drink after 2020.",91,90,Tuscany
110320,France,"This is a small property under the same ownership as Ch?teau du Cartillon in the Haut-Médoc. The wine is ripe, juicy and with delicious blackberry fruits. It has a dark core of tannins ready to push the wine forward as it ages. It will certainly need time, so wait until 2021.",91,65,Bordeaux
110330,US,"A solid Pinot Noir for its price, this offers all the expected flavors and strikes a balance between richness and freshness. Wild cherry, anise, sagebrush and slate aromas lead into a palate that packs ripe red fruit upfront, followed by tangy elderberry, plum skin, hibiscus and rose. A touch of elderflower adds depth.",91,30,California
110340,Italy,"Big and powerfully structured, this opens with aromas evoking truffle, sunbaked earth, fruitcake, iris and a whiff of game. The round meaty palate shows raspberry compote, fleshy morello cherry, clove and a hint of nutmeg alongside chewy tannins. You'll also notice the warmth of alcohol on the finish. Drink through 2023.",90,115,Tuscany
110350,France,"This estate, now owned by the negociant Champy, specializes in the vineyards around Pernand-Vergelesses. This single parcel wine is ripe and jammy, benefiting from the richness of the year. Soft tannins and red strawberry fruit dominate and will remain the main theme as the wine matures. Drink from 2018.",90,,Burgundy
110360,US,"Quite dark in the glass, this bottling offers black plum skin, clay, gravel and berry pie aromas. The mouthfeel is full of polished tannins and edged with sharp acidity. Dark fruit and wet earth flavors dominate.",90,65,California
110370,US,"Aromas of butterscotch, spice and red fruit are followed by fleshy fruit flavors. The palate shows a pleasing sense of balance, though the tannins bring a slight grit.",89,28,Washington
110380,US,"This wine breaks on the palate like a slider crossing the corner of the plate, just out of reach. A forward, fruit-driven entry drops into a tart midpalate, with plum and berry fruit. It fades away into a finish with strong acids, light chocolate and a hint of bitterness in the tannins.",89,45,Oregon
110390,Italy,This enjoyable white opens with aromas of pressed white flower and exotic fruit. The aromas follow over to the round palate along with banana and a hint of toast.,89,25,Piedmont
110400,Portugal,"This wine is produced from organically grown grapes. It is aged in tank, giving a wine that is all blackberry fruit with a crisp texture as well as generous tannins. With touches of D?o minerality, the wine is ready to drink.",87,10,D?o
110410,Italy,"This Alicante leads with red-skinned berry, rose petal and cooking spice aromas that carry over to the juicy, straightforward palate. They're joined by a gamy flavor and smooth tannins that leave an easygoing impression. Enjoy soon.",87,10,Sicily & Sardinia
110420,Italy,"Sour berry, coconut and camphor aromas lead the way while the firm palate offers toast, vanilla, espresso and chocolate-covered cherry flavors. Grainy tannins grip the finish.",87,60,Piedmont
110430,France,"A classic rosé blend of Grenache and Cinsault, this is soft, crisp and fruity. The smooth texture gains attractive lift from acidity and raspberry fruits. It is light and bright at the end.",88,14,Provence
